x,Curve1
0.06,-3.6306
1.062,-4.2779
1.678,-1.8367
3.722,0.4693
4.084,2.7171
5.916,1.1039
6.602,2.3148
6.614,3.4202
9.68,-0.6366
9.688,0.0583
10.692,-0.3996
11.96,0.1573
12.219,0.7929
13.302,-0.1057
14.141,-0.282
15.071,0.1748
16.499,0.0079
16.916,-0.3013
17.494,-1.2396
17.653,-2.0581
17.995,-1.6106
18.169,-1.0394
19.249,-2.254
19.423,-1.7144
19.825,-3.3185
19.927,-1.8011
19.95,0.315
20.252,-2.7434
20.661,-3.779
21.01,-2.6998
21.386,0.8745
22.173,-3.9446
22.269,-2.8378
22.584,-4.7908
22.84,-4.4394
23.178,-4.3393
23.364,-2.7574
23.436,-3.7984
23.684,-4.205
24.115,-3.2824
24.864,-3.9021
25.733,-1.3937
27.777,0.8175
27.887,3.1877
29.633,1.3837
29.971,1.5469
30.656,2.5998
30.753,3.8014
33.652,-0.1634
33.659,0.4683
34.747,0.0118
35.678,0.5634
36.273,1.1412
37.272,0.2412
37.861,0.1873
38.704,0.4532
39.462,0.5599
40.553,0.3561
40.718,0.0429
41.539,-1.7125
41.547,-0.9861
41.972,-0.632
42.218,-1.1966
43.135,-1.9084
43.56,-1.4596
43.583,0.5934
43.886,-2.4018
44.049,-2.8729
44.717,-3.2729
44.98,-2.3529
45.357,1.2846
46.229,-3.47
46.385,-4.5413
46.407,-2.583
46.81,-4.124
47.248,-2.5698
47.318,-3.8634
47.323,-3.358
47.823,-3.7922
